License #,Name,License Status,Address,Phone,Endorsements Type,RMI Owner,Start Date,End Date
143629,None,Not Active - Expired after a lapse,1501 CONKLIN LN COVE OR 97824,(541) 786-4425,Residential Limited Contractor,"Member (Limited Liability Company)WITTEN, GABRIELLA

Member (Limited Liability Company)WITTEN, JEFFREY DAVID

Member (Limited Liability Company)WITTEN, MATTHEW JOSEF

RMI OwnerWITTEN, JEFFREY DAVID",6/19/2000,6/19/2020
71942,None,Not Active - Expired,62637 DRY CREEK LN SUMMERVILLE OR 97876-8115,(541) 534-6000,Specialty Contractor/Res,None,2/25/1991,2/25/1998
149657,None,Active,2737 N MAIN ST STE 200 WALNUT CREEK CA 94597-2779,(925) 279-5000,Commercial General Contractor Level 2,"Corporate OfficerSEVILLA, ALBERTO S

Corporate OfficerSEVILLA, CYNTHIA R

Corporate OfficerSEVILLA, EVELYN JUANITA

RMI EmployeeBEAVER, PETER A",12/18/2001,12/28/2024
198514,None,Not Active - Expired after a lapse,2165 HWY 99 N. ASHLAND OR 97520,(541) 601-8981,Residential Limited Contractor,"RMI OwnerCORSINI, ANTHONY SCOTT",12/12/2012,12/12/2016
203230,None,Active,13620 SW BEEF BEND RD #155 TIGARD OR 97223,(503) 820-9153,Residential General Contractor,"Member (Limited Liability Company)SABIN, ERIC TODD

RMI OwnerSABIN, ERIC TODD",6/9/2014,6/9/2024
237467,None,Active,60630 TERRY LN BEND OR 97701,(541) 419-5654,Commercial General Contractor Level 2Residential General Contractor,"Member (Limited Liability Company)YOUNG, BLAKE EDWARD

RMI OwnerYOUNG, BLAKE EDWARD",8/13/2021,8/13/2025
137546,CLEARVIEW BUILDERS GROUP,Not Active - Expired after a lapse,PO BOX 12469 PORTLAND OR 97227,(503) 226-2627,General Contractor/All,"Member (Limited Liability Company)HARTMAN, TODD HUNTER

Member (Limited Liability Company)STRONG, HEIDI MARIE",8/3/1999,8/3/2001
171690,None,Not Active - Expired,258 NW REVERE AVE BEND OR 97701,(541) 350-2458,Residential General Contractor,"RMI OwnerHAIT, JAMES PAUL",8/16/2006,10/12/2016
243183,None,Active,8215 SW TUALATIN SHERWOOD RD STE 200 TUALATIN OR 97062,(971) 401-7662,Residential General Contractor,"Member (Limited Liability Company)LADINO FERRER, SERGIO

Member (Limited Liability Company)LADINO MURILLO, ARTURO

RMI OwnerLADINO FERRER, SERGIO",11/22/2022,11/22/2024
221876,APPLEGATE HOME IMPROVEMENT,Active,444 CHINA GULCH RD JACKSONVILLE OR 97530,(541) 219-6621,Residential General Contractor,"RMI OwnerPETERSEN, JASON ROBERT",8/2/2018,8/2/2024
58297,"SHOESTRING DECORATING

SPACE TO PLACE DECOR",Not Active - Expired after a lapse,2020 LIBERTY WAY THE DALLES OR 97058,(503) 665-5293,Limited Contractor,None,11/22/1988,11/13/2004
165297,None,Not Active - Expired after a lapse,909 SE SWEETBRIAR LN TROUTDALE OR 97060,(503) 753-5137,Limited Contractor,"Member (Limited Liability Company)DECORTE, LISA MARIE",6/24/2005,6/24/2007
97790,None,Not Active - Expired after a lapse,300 OSWEGO POINTE DR STE 106 LAKE OSWEGO OR 97034,(503) 675-3600,Commercial General Contractor Level 2,"Corporate OfficerEVANS, MARK

Corporate OfficerHAUCK, OLIVER

Corporate OfficerING, PHILLIS JACQUELYN

Corporate OfficerMUNIZ, SANTIAGO

RMI EmployeeGOELLER, STEFFEN",3/25/1994,4/21/2011
73825,EVERGREEN CONSTRUCTION,Suspended - Not Active,PO BOX 6805 PORTLAND OR 97228-6805,(503) 803-2426,General Contractor/All,None,5/16/1991,5/16/1999
230692,PHILIP CRAIG LAURITZEN,Not Active - Expired,3717 NE 161ST CT VANCOUVER WA 98682,(360) 713-7214,Residential General Contractor,"RMI OwnerLAURITZEN, PHILIP CRAIG",3/31/2020,4/25/2024
215486,None,Not Active - Voluntarily Surrendered,260 TOWNSEND ST 5TH FLR SAN FRANCISCO CA 94107,(415) 421-2980,Commercial General Contractor Level 1,"Corporate OfficerADAIR, DONALD DEAN

Corporate OfficerCAPENER, JOHN THOMAS

Corporate OfficerEHARA, GEORGE STEVEN

Corporate OfficerFOELLMER JR, FRANK

Corporate OfficerFOSTER, ERIC MICHAEL

Corporate OfficerGRUBB JR, DAVID HAROLD

Corporate OfficerHERSHMAN, GEORGE WILLIAM

Corporate OfficerMURPHY, SHERI ANN

Corporate OfficerPETERSON, BRADLEY KARL

Corporate OfficerPURPURA JR, ANGELO VINCENT

Corporate OfficerRAFFERTY, GARY JOSEPH

RMI OwnerGRUBB JR, DAVID HAROLD

Previous RMIFOSTER, ERIC MICHAEL",10/27/2017,10/27/2023
99340,CLIFFORD REYNOLDS PAINTING,Not Active - Expired after a lapse,1943 13TH ST WEST LINN OR 97068,(503) 650-9551,Specialty Contractor/Res,None,5/26/1994,11/18/2003
211074,None,Active,2672 NE JILL CT BEND OR 97701,(541) 508-9352,Residential General Contractor,"Member (Limited Liability Company)NAGEL, DUSTIN KYLE

RMI OwnerNAGEL, DUSTIN KYLE",6/24/2016,6/24/2024
204518,OREGON COAST SECURITY,Active,PO BOX 136 PACIFIC CITY OR 97135,(503) 877-0130,Commercial General Contractor Level 2Residential Specialty Contractor,"Member (Limited Liability Company)CATO, MICHAEL JOHN

RMI OwnerCATO, MICHAEL JOHN",10/31/2014,10/31/2024
180671,None,Not Active - Expired,959 TWIN OAKS LANE WINSTON OR 97496-2733,(503) 810-6044,Residential General Contractor,"Member (Limited Liability Company)DENNY, GARY OWEN

RMI OwnerDENNY, GARY OWEN",2/22/2008,4/19/2014
73666,None,Not Active - Expired after a lapse,1138 ROCK CREEK DR S SALEM OR 97306-2223,(503) 362-7681,General Contractor/All,"Corporate OfficerGWYN, LEE F

Corporate OfficerGWYN, LONYE F",5/10/1991,5/10/2005
80781,CHRIS BIXLER TILE & MARBLE,Not Active - Expired after a lapse,4223 SE 65TH AVE PORTLAND OR 97206,(503) 788-6838,General Contractor/All,None,3/25/1992,10/23/2000
151706,AMERICAN HARDWOOD FLOORS,Not Active - Expired after a lapse,11095 SE ALEXANDER AVE PORTLAND OR 97236-7096,(503) 698-8877,General Contractor/Res,None,6/5/2002,6/5/2006
242240,None,Active,2893 SE VISTA WAY GRESHAM OR 97080,(360) 771-0425,Residential General Contractor,"Member (Limited Liability Company)KOVALCHUK, ALINA

Member (Limited Liability Company)KOVALCHUK, HEORHII

RMI OwnerKOVALCHUK, ALINA",9/16/2022,9/16/2024
47096,None,Suspended - Not Active,4100 MCDOUGAL LANE EUGENE OR 97402,(503) 688-7280,Specialty Contractor/All,"Corporate OfficerMAHER, MICHAEL X

Corporate OfficerMAHER, RICHARD L",1/18/1985,10/7/1992
144235,BAKER BUILD & FINISH,,PO BOX 315 CARLTON OR 97111,(503) 407-2900,General Contractor/All,None,6/16/2000,6/16/2004
142543,J S MCLEAN CONSTRUCTION,Not Active - Expired,39 NE 79TH AVE PORTLAND OR 97213,(503) 252-7384,General Contractor/All,"Previous Name [COR]JS MCLEAN CONSTRUCTION INC

Previous Name [CPO]MCLEAN, CHRISTINE ANN

Previous Name [CPO]MCLEAN, JOHN SCOTT",4/26/2000,4/13/2007
223541,None,Active,3943 SE IVON ST PORTLAND OR 97202,(971) 227-4744,Residential Specialty Contractor,"Corporate OfficerTALMADGE JR, BRUCE ALEXANDER

RMI OwnerTALMADGE JR, BRUCE ALEXANDER",12/3/2018,12/3/2024
83345,DAY SIGNS,Not Active - Expired,PO BOX 24 SHADY COVE OR 97539,(541) 878-3695,Specialty Contractor/Res,None,5/26/1992,3/19/2003
218572,None,Active,12009 NE MARX ST PORTLAND OR 97220,(503) 927-4482,Residential General Contractor,"Member (Limited Liability Company)PELDO, LANDON REED

RMI OwnerPELDO, LANDON REED",1/11/2018,1/11/2026
197162,None,Not Active - Expired,5331 SW MACADAM AVENUE STE 258 PMB 503 PORTLAND OR 97239,(503) 245-7418,Residential Specialty Contractor,"Member (Limited Liability Company)STRONACH, ANDREW KELLOGG

RMI OwnerSTRONACH, ANDREW KELLOGG",6/13/2012,6/13/2014
213599,None,Not Active - Expired,6700 WARNER AVE 31C HUNTINGTON BEACH CA 92647,(503) 442-1990,Residential Specialty Contractor,"RMI OwnerGAXIOLA RUIZ, EDUARDO",1/30/2017,1/9/2022
